Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Average,MainVerb,LF_Main,TF_Main,Syntax_Main,VolScore_Main,SubVerb,LF_Sub,Morpheme,Property,Condition,Condition_Exp
HSP06,3,Female,Heritage,Simultaneous,26,0,0,1,33,3,49,20,20,A,5,41,1,necesitar,593469,1,Canonical,,tomar,506707,Mood,Subjunctive,A,[+F/+F]
HSP06,3,Female,Heritage,Simultaneous,26,0,0,1,33,3,49,20,20,A,15,43,0,conseguir,129144,0,Canonical,,enviar,766523,Mood,Subjunctive,C,[–F/+F]
HSP06,3,Female,Heritage,Simultaneous,26,0,0,1,33,3,49,20,20,A,10,46,1,esperar,1409514,1,Canonical,,atar,15876,Mood,Subjunctive,B,[+F/–F]
HSP06,3,Female,Heritage,Simultaneous,26,0,0,1,33,3,49,20,20,A,20,48,1,ordenar,65158,1,Canonical,,bailar,29935,Mood,Subjunctive,D,[–F/–F]
HSP07,21,Female,Heritage,Sequential,39,0,7,7,27,0,39,11,12,B,20,3,1,ordenar,65158,1,Canonical,,bailar,29935,Mood,Subjunctive,D,[–F/–F]
HSP07,21,Female,Heritage,Sequential,39,0,7,7,27,0,39,11,12,B,10,5,0,esperar,1409514,1,Canonical,,atar,15876,Mood,Subjunctive,B,[+F/–F]
HSP07,21,Female,Heritage,Sequential,39,0,7,7,27,0,39,11,12,B,15,8,1,conseguir,129144,0,Canonical,,enviar,766523,Mood,Subjunctive,C,[–F/+F]
HSP07,21,Female,Heritage,Sequential,39,0,7,7,27,0,39,11,12,B,5,10,1,necesitar,593469,1,Canonical,,tomar,506707,Mood,Subjunctive,A,[+F/+F]
HSP07,21,Female,Heritage,Sequential,39,0,7,7,27,0,39,11,12,B,19,13,1,valorar,113028,1,Canonical,,prestar,73724,Mood,Subjunctive,D,[–F/–F]
HSP07,21,Female,Heritage,Sequential,39,0,7,7,27,0,39,11,12,B,9,15,1,necesitar,593469,1,Canonical,,prestar,73724,Mood,Subjunctive,B,[+F/–F]
HSP07,21,Female,Heritage,Sequential,39,0,7,7,27,0,39,11,12,B,14,18,1,ordenar,65158,1,Canonical,,tratar,590952,Mood,Subjunctive,C,[–F/+F]
HSP07,21,Female,Heritage,Sequential,39,0,7,7,27,0,39,11,12,B,4,20,1,querer,1263949,0,Canonical,,tratar,590952,Mood,Subjunctive,A,[+F/+F]
